,time,knee_angle_r_moment,ankle_angle_r_moment,knee_angle_l_moment,ankle_angle_l_moment,time_prev_prev,time_prev,knee_angle_r_prev_prev,knee_angle_r_prev,knee_angle_r,ankle_angle_r_prev_prev,ankle_angle_r_prev,ankle_angle_r,knee_angle_l_prev_prev,knee_angle_l_prev,knee_angle_l,ankle_angle_l_prev_prev,ankle_angle_l_prev,ankle_angle_l
78,3.965,-18.10526006,0.21658606,0.75188378,-46.47650909,3.955,3.96,-24.65310829,-23.15947769,-21.77915326,0.36910862,0.75261427,1.19600134,-8.58551954,-8.78267876,-8.97820626,13.38529168,13.70760261,13.98767969
79,3.97,-18.48337195,0.10490541,1.24470617,-47.9062542,3.96,3.965,-23.15947769,-21.77915326,-20.44345466,0.75261427,1.19600134,1.56006275,-8.78267876,-8.97820626,-9.2442802,13.70760261,13.98767969,14.25498067
80,3.975,-18.64568466,-0.02422475,1.82597039,-49.2995633,3.965,3.97,-21.77915326,-20.44345466,-19.26551949,1.19600134,1.56006275,2.02521311,-8.97820626,-9.2442802,-9.4973386,13.98767969,14.25498067,14.51998448
81,3.98,-18.69264094,-0.15644399,2.5019833,-50.63827098,3.97,3.975,-20.44345466,-19.26551949,-18.10855623,1.56006275,2.02521311,2.33888351,-9.2442802,-9.4973386,-9.80236554,14.25498067,14.51998448,14.73417084
82,3.985,-18.69070855,-0.27088857,3.27905315,-51.9022013,3.975,3.98,-19.26551949,-18.10855623,-17.05070837,2.02521311,2.33888351,2.59616488,-9.4973386,-9.80236554,-10.14699043,14.51998448,14.73417084,14.93229405
83,3.99,-18.60957761,-0.36578581,4.16012909,-53.06963479,3.98,3.985,-18.10855623,-17.05070837,-16.08779797,2.33888351,2.59616488,2.75486639,-9.80236554,-10.14699043,-10.52948626,14.73417084,14.93229405,15.02627616
84,3.995,-18.42552858,-0.44001657,5.14541782,-54.11750766,3.985,3.99,-17.05070837,-16.08779797,-15.24351317,2.59616488,2.75486639,2.92901569,-10.14699043,-10.52948626,-10.96441753,14.93229405,15.02627616,15.19182845
85,4.0,-18.12193307,-0.49304336,6.23308855,-55.02099219,3.99,3.995,-16.08779797,-15.24351317,-14.5567046,2.75486639,2.92901569,3.08056085,-10.52948626,-10.96441753,-11.44012665,15.02627616,15.19182845,15.29459635
86,4.005,-17.68927483,-0.52482163,7.41811757,-55.75361018,3.995,4.0,-15.24351317,-14.5567046,-14.00823003,2.92901569,3.08056085,3.21676408,-10.96441753,-11.44012665,-11.9480161,15.19182845,15.29459635,15.36340165
87,4.01,-17.12481675,-0.53570963,8.69199738,-56.28740639,4.0,4.005,-14.5567046,-14.00823003,-13.60707012,3.08056085,3.21676408,3.34787646,-11.44012665,-11.9480161,-12.49466626,15.29459635,15.36340165,15.39883978
88,4.015,-16.43204632,-0.52638798,10.04318486,-56.59321916,4.005,4.01,-14.00823003,-13.60707012,-13.37293366,3.21676408,3.34787646,3.44193653,-11.9480161,-12.49466626,-13.11559644,15.36340165,15.39883978,15.4300219
89,4.02,-15.61999309,-0.49779716,11.45712031,-56.64152116,4.01,4.015,-13.60707012,-13.37293366,-13.29139929,3.34787646,3.44193653,3.57353411,-12.49466626,-13.11559644,-13.76184488,15.39883978,15.4300219,15.38166261
90,4.025,-14.70246844,-0.45109721,12.91598015,-56.40318011,4.015,4.02,-13.37293366,-13.29139929,-13.36824475,3.44193653,3.57353411,3.70013804,-13.11559644,-13.76184488,-14.44041494,15.4300219,15.38166261,15.26273904
91,4.03,-13.69725767,-0.38764943,14.3986234,-55.85011616,4.02,4.025,-13.29139929,-13.36824475,-13.58892502,3.57353411,3.70013804,3.76082223,-13.76184488,-14.44041494,-15.16945378,15.38166261,15.26273904,15.04342242
92,4.035,-12.62527576,-0.3090148,15.88077452,-54.95598661,4.025,4.03,-13.36824475,-13.58892502,-13.89303482,3.70013804,3.76082223,3.77678162,-14.44041494,-15.16945378,-15.95001706,15.26273904,15.04342242,14.83771756
93,4.04,-11.50966853,-0.21696096,17.33535224,-53.6973247,4.03,4.035,-13.58892502,-13.89303482,-14.36186753,3.76082223,3.77678162,3.7894084,-15.16945378,-15.95001706,-16.76233562,15.04342242,14.83771756,14.49980867
94,4.045,-10.37482927,-0.11346948,18.73294074,-52.05485787,4.035,4.04,-13.89303482,-14.36186753,-14.84313742,3.77678162,3.7894084,3.73424394,-15.95001706,-16.76233562,-17.64930563,14.83771756,14.49980867,14.16638376
95,4.05,-9.24533427,-0.00073387,20.04234718,-50.01511491,4.04,4.045,-14.36186753,-14.84313742,-15.35964054,3.7894084,3.73424394,3.32778959,-16.76233562,-17.64930563,-18.14540769,14.49980867,14.16638376,12.83373165
96,4.055,-11.5033085,1.79410015,21.23106015,-47.57248775,4.045,4.05,-14.84313742,-15.35964054,-16.04281031,3.73424394,3.32778959,3.22204123,-17.64930563,-18.14540769,-19.17326722,14.16638376,12.83373165,12.36054188
97,4.06,-10.63634694,2.79556782,22.26579294,-44.73145653,4.05,4.055,-15.35964054,-16.04281031,-16.7044534,3.32778959,3.22204123,2.85868701,-18.14540769,-19.17326722,-20.2119427,12.83373165,12.36054188,11.77022866
98,4.065,-9.31092171,3.99905396,23.10071053,-41.50856591,4.055,4.06,-16.04281031,-16.7044534,-17.2260802,3.22204123,2.85868701,1.94776644,-19.17326722,-20.2119427,-20.76216137,12.36054188,11.77022866,9.96989441
99,4.07,-7.33740874,5.34953873,23.71664104,-37.93766597,4.06,4.065,-16.7044534,-17.2260802,-17.95439643,2.85868701,1.94776644,1.54800055,-20.2119427,-20.76216137,-21.97916973,11.77022866,9.96989441,9.23607716
100,4.075,-4.55696207,6.75178114,24.08811072,-34.07201956,4.065,4.07,-17.2260802,-17.95439643,-18.49428434,1.94776644,1.54800055,0.52647345,-20.76216137,-21.97916973,-22.67922633,9.96989441,9.23607716,7.24938452
101,4.08,-0.9448584,8.11759524,24.17934068,-29.98560789,4.07,4.075,-17.95439643,-18.49428434,-19.12285792,1.54800055,0.52647345,-0.26327806,-21.97916973,-22.67922633,-23.6833526,9.23607716,7.24938452,5.6125262
102,4.085,3.29551676,9.39126418,23.97117385,-25.77022379,4.075,4.08,-18.49428434,-19.12285792,-19.77052986,0.52647345,-0.26327806,-1.18560809,-22.67922633,-23.6833526,-24.90796341,7.24938452,5.6125262,4.17722674
103,4.09,7.89846568,10.50243222,23.44785961,-21.53437601,4.08,4.085,-19.12285792,-19.77052986,-20.33706078,-0.26327806,-1.18560809,-2.02964361,-23.6833526,-24.90796341,-25.81691042,5.6125262,4.17722674,1.81241872
104,4.095,12.56112528,11.41935125,22.59853991,-17.39827274,4.085,4.09,-19.77052986,-20.33706078,-21.00115345,-1.18560809,-2.02964361,-2.94645542,-24.90796341,-25.81691042,-27.14798852,4.17722674,1.81241872,0.00761744
105,4.1,17.03502202,12.13942994,21.42675699,-13.48181721,4.09,4.095,-20.33706078,-21.00115345,-21.65368672,-2.02964361,-2.94645542,-3.5932616,-25.81691042,-27.14798852,-28.16817333,1.81241872,0.00761744,-2.63579008
